Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8314322373110378,0.020950286866662032,0.3796536295356865,0.1932623373637461,19.940160085841228,0.5309476613998413
2,0.9641562649732578,0.014386324253446327,0.3257223765436047,0.2829180943883621,20.30321850644079,0.5448870820858899
3,0.05764984788635221,0.013625516688707703,0.9736479288660838,0.027605621375745733,20.432140941108628,0.5539522939219195
4,3.502518123715125e-05,0.013112908099850495,0.9999826180149695,1.0922184553297364e-05,20.970156844833863,0.5581003754279192
5,8.651798008592565e-06,0.01287232600933242,0.9999963595338924,4.986809488095488e-06,20.487087320710526,0.5514516790824778
6,5.621468707633136e-06,0.012704933838037674,0.9999977160356716,3.287848511865083e-06,20.84294451728343,0.5552185454088099
7,3.8138879098843025e-06,0.012505959970597735,0.999997936208805,1.7486716180297923e-06,20.1858842513918,0.560102361721151
8,3.4084569955405256e-06,0.012494406763932661,0.9999982460101922,1.6428653102294137e-06,20.991058778928423,0.5618336986794191
9,3.992379945743152e-06,0.012432116341225045,0.9999979436897232,1.839868951627253e-06,21.229105121171873,0.5682854299334918
10,1.8236434248491806e-06,0.012188231071044584,0.9999989832518343,8.064600463589006e-07,21.17286724209238,0.5703092328941121
11,1.7691286915262657e-06,0.012064427087406912,0.9999990177868369,7.867083928692796e-07,20.520128308261846,0.5692559308514875
12,1.6146362795117019e-06,0.012099719151051458,0.9999992042530083,8.093761054275789e-07,21.24417938408396,0.5695689061809989
13,1.3434847786522945e-06,0.012076285364563594,0.9999994262820946,7.191550444103941e-07,20.792207289831648,0.5618318701141021
14,7.669358491134816e-07,0.012100988018833948,0.9999995847233755,3.514833495924512e-07,20.757742737981335,0.5652334048467524
15,7.808845714748033e-07,0.011874524188969664,0.9999995666778017,3.473019408968589e-07,21.376313055343555,0.571552796644323
16,6.217734137292387e-07,0.011869499679587916,0.9999996783776197,2.9997127528272877e-07,21.269860435796208,0.5692589635708752
17,6.967239903894393e-07,0.011884748992582638,0.9999996617025958,3.43375831823029e-07,20.089742303666817,0.5529128399316002
18,4.986613067227361e-07,0.011772967325802335,0.9999997025906683,2.0129933619353619e-07,21.411797367574263,0.5754165395217783
19,4.3399346816113935e-07,0.012064288718971663,0.9999997754582388,2.0930111944124803e-07,20.173805662545373,0.5483854788892409
20,3.271504458770797e-07,0.011876185075519328,0.9999998503816342,1.773864338501826e-07,21.372407743043787,0.5727116992543725
21,4.0748321777447633e-07,0.011662522516698538,0.99999983827511,2.3527085826011202e-07,21.378457141237966,0.5743414542254279
22,3.835169544698577e-07,0.01163358823535685,0.99999975581369,1.3884101266451247e-07,21.490215794646296,0.5785952600310831
23,2.2200562394467154e-07,0.011572016424047734,0.9999998962950564,1.1818996156961078e-07,21.47447981303155,0.5776398413321551
24,1.9078164513926485e-07,0.01157739364056887,0.9999999086300057,9.929372559171808e-08,21.488127603852853,0.5758185089335722
25,1.9686848078263103e-07,0.011561101908812266,0.9999999074878807,1.0383567186607764e-07,21.498611562092375,0.5777062316151226
26,1.8629885301129025e-07,0.011485084984116925,0.9999999134269303,9.508550047718007e-08,21.47534661964189,0.5793340946996913
27,1.7920824312299004e-07,0.011531158783389422,0.9999998944676565,7.342620604308132e-08,21.499252098542566,0.5759799595440135
28,1.18289349108342e-07,0.011446172554202065,0.9999999490612281,6.711630857925675e-08,21.535101568324656,0.5786301728557138
29,1.2672443264245667e-07,0.011519755896872388,0.9999999399242286,6.641155878864884e-08,21.520640483609235,0.5782482939958572
30,2.3868201778900714e-07,0.011439696233161909,0.9999999125132304,4.6628289774458246e-08,21.49780852910641,0.5790285768228419
31,6.407303247298221e-08,0.011405156343327668,0.9999999523020077,1.6386969946367373e-08,21.449032381484958,0.5796472327148213
32,4.295985967026056e-08,0.011443002854591001,0.9999999757869514,1.874750954462133e-08,21.51194899086424,0.5770695173039155
33,4.326288312866866e-08,0.011398149814434395,0.9999999769290764,2.0226606694902336e-08,21.52664509447852,0.5767426202577703
34,3.683167563131534e-08,0.011410341232033546,0.9999999897208757,2.6451082064737765e-08,21.54597656410783,0.5819469979580711
35,3.771714115226086e-08,0.011367162601230387,0.999999984010251,2.1633582414492826e-08,21.423843670753385,0.5813970541603425
36,2.561436203218316e-08,0.011405629387828048,0.9999999924619755,1.7952538768839644e-08,21.565626727669567,0.581987667890156
37,1.5944700684940813e-08,0.011266950549345888,0.9999999961167753,1.2047511099977105e-08,21.522892777352777,0.5810837674140931
38,1.7258442300341763e-08,0.011324597828670176,0.9999999926904004,9.943516618530006e-09,21.49264651947472,0.578524486878339
39,2.133095593056728e-08,0.011367105118216512,0.9999999894924506,1.0816901892253813e-08,21.463513963250193,0.5817373616204542
40,1.5113458081993893e-08,0.011280283735630042,0.9999999958883502,1.0977839421319053e-08,21.511152163994844,0.5817131057556938
41,1.380522063186022e-08,0.011341946271811417,0.9999999949746503,8.760777203035334e-09,21.546344660454086,0.5809957345794229
42,7.83437381151133e-09,0.01134013965748206,0.9999999981726001,6.003111222649787e-09,21.595477621170737,0.5843024811674566
43,1.0009235093450142e-08,0.011230684738762365,0.9999999961167753,6.120383862791531e-09,21.4944643256104,0.5812143728312325
44,6.948383312766725e-09,0.011988270771048384,0.9999999979441752,4.879221870287826e-09,21.441899678490334,0.571492935629452
45,8.428815224278081e-09,0.011433640428021282,0.9999999965736253,4.999494555246265e-09,21.48093212074643,0.5818398123278338
46,7.646675784171012e-09,0.011349482637367205,0.9999999977157501,5.3434578542870536e-09,21.57057675886106,0.5815478898497188
47,5.7743296125727385e-09,0.011207567980947965,0.999999998857875,4.612728569939887e-09,21.599629508625178,0.5823109844502281
48,5.471863744545687e-09,0.011183552759180882,0.999999998401025,3.844565014713346e-09,21.535103429786425,0.5788289204415153
49,3.2545761160458606e-09,0.011208825329552868,0.999999999314725,2.5486296425786824e-09,21.52159102400498,0.5809526976066477
50,1.9760659675597652e-08,0.011242278315528424,0.9999999872082008,6.958814340518194e-09,21.584107178527642,0.5831331961996415
51,1.7364535214702316e-08,0.011244891328725986,0.9999999878934758,5.421899278182324e-09,21.53620760137003,0.5825149719855365
52,1.2297165586548567e-08,0.011111823995402474,0.9999999979441752,9.494392185822518e-09,21.582098646193874,0.584511975961573
53,3.94222215188733e-09,0.011238971619593526,0.9999999986294501,2.5642280437122996e-09,21.606891610512694,0.5844645082249361
54,1.8542344550539099e-09,0.011144999105951743,0.999999999771575,1.6229734060206505e-09,21.61171027122851,0.5850535177132663
55,1.3600233241125854e-09,0.011141110106098081,0.999999999771575,1.1305924555974405e-09,21.6056381480433,0.5829234068533954
56,1.555642887747419e-09,0.011296008608922986,0.99999999954315,1.0951233371899546e-09,21.54942235856479,0.5814114617249545
57,8.394397542878581e-10,0.01121025639268274,1.0,8.385456097157688e-10,21.58694120017236,0.5859405422561309
58,6.862107649439955e-10,0.011207513250410557,1.0,6.854557164784619e-10,21.605491627719356,0.5835740997861414
59,6.241774067665564e-10,0.011149428279813892,1.0,6.232287020190609e-10,21.610233629188667,0.5850782848806942
60,4.709430281142665e-10,0.01110875434035848,1.0,4.706545731125323e-10,21.616421284429773,0.5866037778994616
61,4.705915487629874e-10,0.01108038545145603,1.0,4.677704239388864e-10,21.49576672053862,0.5853298410247354
62,9.102797629174307e-10,0.011246617885674545,1.0,8.445268956114837e-10,21.615592235174702,0.5839638631133472
63,2.3078223697672225e-10,0.011151596114574792,1.0,2.3074403113437348e-10,21.61388567703563,0.5850964784972807
64,2.093118611834344e-10,0.011135591328768672,1.0,2.0931283731877463e-10,21.6197463965654,0.5840952228097355
65,7.599773140672092e-10,0.011100096190627106,0.99999999954315,3.030978219573548e-10,21.600354798548935,0.5845610350721022
66,2.859563597157067e-10,0.011075869795091137,1.0,2.8578039428585473e-10,21.63873191372039,0.5860595562528161
67,2.8686131019486336e-10,0.011094118935797743,1.0,2.8638953850462015e-10,21.618816644275192,0.5832964551448822
68,1.2933108187257292e-09,0.011147456222888595,0.99999999954315,7.837066784421864e-10,21.62625957640715,0.5847876379770391
69,3.526697462058038e-10,0.011096567414299457,1.0,3.4654084782564434e-10,21.628266012851615,0.5836718917243621
70,2.0541350902505325e-10,0.011002389806027184,1.0,2.0399278219545826e-10,21.6377207726271,0.5842676953007193
71,4.2911689819278315e-10,0.011127531685961221,1.0,2.5438534017453724e-10,21.635120263686865,0.5877305838640998
